Platform,Date,Viewer Count
Amazon Prime,September 2016,
Amazon Prime,December 2016,
Amazon Prime,March 2017,"131,710"
Amazon Prime,June 2017,"136,750"
Amazon Prime,September 2017,"167,520"
Amazon Prime,December 2017,"219,220"
Amazon Prime,March 2018,"360,350"
Amazon Prime,June 2018,"296,420"
Amazon Prime,September 2018,"457,410"
Amazon Prime,December 2018,"578,660"
Amazon Prime,March 2019,"631,540"
Amazon Prime,June 2019,"762,210"
Amazon Prime,September 2019,"1,134,560"
Amazon Prime,December 2019,"1,379,800"
Amazon Prime,March 2020,"1,866,780"
Amazon Prime,June 2020,"2,132,550"
Amazon Prime,September 2020,"2,672,270"
Amazon Prime,December 2020,"3,027,420"
Amazon Prime,March 2021,"3,566,010"
Amazon Prime,June 2021,"3,569,520"
Amazon Prime,December 2021,"4,493,000"
Apple TV+,September 2016,
Apple TV+,December 2016,
Apple TV+,March 2017,
Apple TV+,June 2017,
Apple TV+,September 2017,
Apple TV+,December 2017,
Apple TV+,March 2018,
Apple TV+,June 2018,
Apple TV+,September 2018,
Apple TV+,December 2018,
Apple TV+,March 2019,
Apple TV+,June 2019,
Apple TV+,September 2019,
Apple TV+,December 2019,"477,060"
Apple TV+,March 2020,"860,100"
Apple TV+,June 2020,"899,710"
Apple TV+,September 2020,"868,360"
Apple TV+,December 2020,"895,520"
Apple TV+,March 2021,"1,010,910"
Apple TV+,June 2021,"1,139,560"
Apple TV+,December 2021,0
Disney+,September 2016,
Disney+,December 2016,
Disney+,March 2017,
Disney+,June 2017,
Disney+,September 2017,
Disney+,December 2017,
Disney+,March 2018,
Disney+,June 2018,
Disney+,September 2018,
Disney+,December 2018,
Disney+,March 2019,
Disney+,June 2019,
Disney+,September 2019,
Disney+,December 2019,"1,471,710"
Disney+,March 2020,"2,277,620"
Disney+,June 2020,"2,609,710"
Disney+,September 2020,"3,073,820"
Disney+,December 2020,"3,204,860"
Disney+,March 2021,"4,266,410"
Disney+,June 2021,"4,219,020"
Disney+,December 2021,"4,663,000"
Foxtel Now,September 2016,"314,050"
Foxtel Now,December 2016,"220,930"
Foxtel Now,March 2017,"296,930"
Foxtel Now,June 2017,"274,760"
Foxtel Now,September 2017,"506,370"
Foxtel Now,December 2017,"585,130"
Foxtel Now,March 2018,"533,450"
Foxtel Now,June 2018,"652,270"
Foxtel Now,September 2018,"562,930"
Foxtel Now,December 2018,"459,980"
Foxtel Now,March 2019,"496,350"
Foxtel Now,June 2019,"697,440"
Foxtel Now,September 2019,"678,920"
Foxtel Now,December 2019,"672,850"
Foxtel Now,March 2020,"561,270"
Foxtel Now,June 2020,"614,570"
Foxtel Now,September 2020,"545,660"
Foxtel Now,December 2020,"600,250"
Foxtel Now,March 2021,"487,970"
Foxtel Now,June 2021,"588,580"
Foxtel Now,December 2021,
Netflix,September 2016,"5,260,960"
Netflix,December 2016,"5,889,130"
Netflix,March 2017,"6,948,620"
Netflix,June 2017,"7,447,960"
Netflix,September 2017,"8,148,220"
Netflix,December 2017,"8,097,170"
Netflix,March 2018,"9,369,950"
Netflix,June 2018,"9,751,510"
Netflix,September 2018,"10,072,860"
Netflix,December 2018,"10,360,680"
Netflix,March 2019,"11,544,500"
Netflix,June 2019,"11,252,650"
Netflix,September 2019,"11,902,910"
Netflix,December 2019,"12,158,040"
Netflix,March 2020,"1,292,050"
Netflix,June 2020,"13,106,340"
Netflix,September 2020,"13,203,350"
Netflix,December 2020,"12,810,630"
Netflix,March 2021,"13,781,930"
Netflix,June 2021,"13,366,000"
Netflix,December 2021,"12,821,000"
Stan,September 2016,"862,590"
Stan,December 2016,"1,108,280"
Stan,March 2017,"1,279,810"
Stan,June 2017,"1,544,180"
Stan,September 2017,"1,619,510"
Stan,December 2017,"1,605,720"
Stan,March 2018,"1,790,400"
Stan,June 2018,"1,959,160"
Stan,September 2018,"1,998,180"
Stan,December 2018,"2,125,840"
Stan,March 2019,"2,872,780"
Stan,June 2019,"2,907,570"
Stan,September 2019,"3,365,980"
Stan,December 2019,"3,628,480"
Stan,March 2020,"4,012,120"
Stan,June 2020,"4,611,020"
Stan,September 2020,"5,134,840"
Stan,December 2020,"4,901,880"
Stan,March 2021,"5,582,340"
Stan,June 2021,"4,929,290"
Stan,December 2021,"4,707,000"
Binge,September 2016,
Binge,December 2016,
Binge,March 2017,
Binge,June 2017,
Binge,September 2017,
Binge,December 2017,
Binge,March 2018,
Binge,June 2018,
Binge,September 2018,
Binge,December 2018,
Binge,March 2019,
Binge,June 2019,
Binge,September 2019,
Binge,December 2019,
Binge,March 2020,
Binge,June 2020,"162,220"
Binge,September 2020,"415,050"
Binge,December 2020,"592,960"
Binge,March 2021,"886,580"
Binge,June 2021,"1,083,530"
Binge,December 2021,
Hulu,September 2016,
Hulu,December 2016,
Hulu,March 2017,
Hulu,June 2017,
Hulu,September 2017,
Hulu,December 2017,
Hulu,March 2018,
Hulu,June 2018,
Hulu,September 2018,
Hulu,December 2018,
Hulu,March 2019,
Hulu,June 2019,
Hulu,September 2019,
Hulu,December 2019,
Hulu,March 2020,
Hulu,June 2020,"89,210"
Hulu,September 2020,"76,250"
Hulu,December 2020,"50,800"
Hulu,March 2021,"102,420"
Hulu,June 2021,"134,940"
Hulu,December 2021,