Platform,Date,Age,Viewer Preference Percentage
Amazon Prime Video,June 2021,14-24,14.80
Disney Plus,June 2021,14-25,24.85
Netflix,June 2021,14-26,70.91
Stan,June 2021,14-27,20.52
Amazon Prime Video,June 2021,25-34,20.70
Disney Plus,June 2021,25-35,26.44
Netflix,June 2021,25-36,72.43
Stan,June 2021,25-37,27.43
Amazon Prime Video,June 2021,35-49,17.61
Disney Plus,June 2021,35-49,21.36
Netflix,June 2021,35-49,66.14
Stan,June 2021,35-49,21.29
Amazon Prime Video,June 2021,50-64,10.00
Disney Plus,June 2021,50-64,9.11
Netflix,June 2021,50-64,51.62
Stan,June 2021,50-64,16.81
Amazon Prime Video,June 2021,65+,3.80
Disney Plus,June 2021,65+,2.06
Netflix,June 2021,65+,30.60
Stan,June 2021,65+,6.52